,time,temperature_2m,cloud_cover,wind_speed_10m,wind_speed_80m,wind_direction_10m,wind_direction_80m,snowfall,precipitation_probability,temperature_2m_max,temperature_2m_min,daylight_duration,uv_index_max,uv_index_clear_sky_max,wind_direction_10m_dominant,rain_sum,precipitation_sum
0,2024-12-17 00:00:00,-9.0,0,9.6,10.8,56,60,0.0,0,-1.1,-10.2,35416.41,4.15,4.15,95,0.0,0.0
1,2024-12-17 01:00:00,-8.6,0,9.6,11.1,56,61,0.0,0,-1.1,-10.2,35416.41,4.15,4.15,95,0.0,0.0
2,2024-12-17 02:00:00,-6.8,0,8.0,9.5,63,65,0.0,0,-1.1,-10.2,35416.41,4.15,4.15,95,0.0,0.0
3,2024-12-17 03:00:00,-5.3,0,6.4,7.2,74,72,0.0,0,-1.1,-10.2,35416.41,4.15,4.15,95,0.0,0.0
4,2024-12-17 04:00:00,-3.7,0,5.0,5.4,90,86,0.0,0,-1.1,-10.2,35416.41,4.15,4.15,95,0.0,0.0
5,2024-12-17 05:00:00,-2.4,0,4.6,5.2,108,102,0.0,0,-1.1,-10.2,35416.41,4.15,4.15,95,0.0,0.0
6,2024-12-17 06:00:00,-1.4,3,5.5,6.2,113,111,0.0,0,-1.1,-10.2,35416.41,4.15,4.15,95,0.0,0.0
7,2024-12-17 07:00:00,-1.1,3,7.0,7.4,111,113,0.0,0,-1.1,-10.2,35416.41,4.15,4.15,95,0.0,0.0
8,2024-12-17 08:00:00,-1.3,100,8.4,8.9,110,111,0.0,0,-1.1,-10.2,35416.41,4.15,4.15,95,0.0,0.0
9,2024-12-17 09:00:00,-2.2,100,8.7,9.4,107,108,0.0,0,-1.1,-10.2,35416.41,4.15,4.15,95,0.0,0.0
10,2024-12-17 10:00:00,-3.2,100,7.4,8.5,104,102,0.0,0,-1.1,-10.2,35416.41,4.15,4.15,95,0.0,0.0
11,2024-12-17 11:00:00,-4.3,100,7.2,8.3,96,95,0.0,0,-1.1,-10.2,35416.41,4.15,4.15,95,0.0,0.0
12,2024-12-17 12:00:00,-5.1,98,6.8,7.6,93,95,0.0,0,-1.1,-10.2,35416.41,4.15,4.15,95,0.0,0.0
13,2024-12-17 13:00:00,-5.8,100,6.5,7.3,90,99,0.0,0,-1.1,-10.2,35416.41,4.15,4.15,95,0.0,0.0
14,2024-12-17 14:00:00,-6.4,100,5.4,6.6,98,112,0.0,0,-1.1,-10.2,35416.41,4.15,4.15,95,0.0,0.0
15,2024-12-17 15:00:00,-7.0,100,4.5,5.4,104,132,0.0,0,-1.1,-10.2,35416.41,4.15,4.15,95,0.0,0.0
16,2024-12-17 16:00:00,-7.3,100,3.3,4.4,96,145,0.0,0,-1.1,-10.2,35416.41,4.15,4.15,95,0.0,0.0
